image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,13,12,2195,2851,63.0,24.7,55.5028362
Analysis_image-Stitched_-9,13,13,2530,2843,62.24,24.4,54.83327818
Analysis_image-Stitched_-9,13,14,2708,2943,65.65,25.7,57.83747931
Analysis_image-Stitched_-9,13,15,2870,2844,65.79,25.8,57.96081895
Analysis_image-Stitched_-9,13,16,3049,2951,62.92,24.7,55.43235641
Analysis_image-Stitched_-9,13,17,3217,2832,64.76,25.4,57.05339162
Analysis_image-Stitched_-9,13,18,3385,2929,66.45,26.1,58.54227723
Analysis_image-Stitched_-9,13,19,3555,2827,64.82,25.4,57.10625147
Analysis_image-Stitched_-9,13,20,3728,2922,64.77,25.4,57.0622016
Analysis_image-Stitched_-9,13,21,3894,2829,63.82,25.0,56.22525407
Analysis_image-Stitched_-9,13,22,4064,2932,61.4,24.1,54.09324036
Analysis_image-Stitched_-9,13,23,4242,2823,61.71,24.2,54.36634955
Analysis_image-Stitched_-9,13,24,4413,2912,62.55,24.5,55.10638737
Analysis_image-Stitched_-9,14,1,336,3181,59.87,23.5,52.74531434
Analysis_image-Stitched_-9,14,2,504,3080,62.02,24.3,54.63945875
Analysis_image-Stitched_-9,14,3,678,3190,62.2,24.4,54.79803828
Analysis_image-Stitched_-9,14,4,844,3073,62.91,24.7,55.42354643
Analysis_image-Stitched_-9,14,5,1015,3173,62.35,24.5,54.93018789
Analysis_image-Stitched_-9,14,6,1183,3070,63.14,24.8,55.62617584
Analysis_image-Stitched_-9,14,7,1357,3162,63.3,24.8,55.76713542
Analysis_image-Stitched_-9,14,8,1522,3063,63.38,24.9,55.83761521
Analysis_image-Stitched_-9,14,9,1697,3170,63.39,24.9,55.84642519
Analysis_image-Stitched_-9,14,10,1862,3053,64.19,25.2,56.55122311
Analysis_image-Stitched_-9,14,11,2035,3150,64.05,25.1,56.42788347
Analysis_image-Stitched_-9,14,12,2202,3048,63.31,24.8,55.77594539
Analysis_image-Stitched_-9,14,13,2543,3042,64.68,25.4,56.98291183
Analysis_image-Stitched_-9,14,14,2717,3141,65.47,25.7,57.67889978
Analysis_image-Stitched_-9,14,15,2886,3041,66.62,26.1,58.69204679
Analysis_image-Stitched_-9,14,16,3055,3147,66.19,26.0,58.31321791
